"playerid","version_date","name","age","team","lg","fraa_adj","fraa","csaa_chances","csaa","csaa_sd","csaa_runs","csaa_runs_sd","epaa_chances","epaa","epaa_runs","sraa_chances","sraa","traa","traa_runs","po_chances","po_runs"
"70397","2019-09-29","Austin Hedges","26","SDN","NL","27.8","28.2","5828",".029",".002","26.0","2.1","3936","-.001","1.5","32","-.016","-.001","-.005","61","-.029"
"59467","2019-09-29","Roberto Perez","30","CLE","AL","25.6","25.7","6841",".015",".002","15.5","2.6","4801","-.007","8.8","44","-.050","-.007","-.032","436","-.172"
"65870","2019-09-29","Yasmani Grandal","30","MIL","NL","20.9","20.1","8000",".016",".001","19.4","1.7","5397","-.001","1.8","85",".002","0.000","-.002","487","-.224"
"67084","2019-09-29","J.T. Realmuto","28","PHI","NL","20.4","19.5","8275",".008",".002","10.5","2.7","5595","-.003","4.8","83","-.084","-.001","-.004","78",".446"
"59592","2019-09-29","Tucker Barnhart","28","CIN","NL","14.7","15.3","5324",".012",".003","10.1","2.3","3610","-.005","4.9","46",".009","-.001","-.004","203","-.072"
"58548","2019-09-29","Buster Posey","32","SFN","NL","13.8","14.9","6172",".011",".002","10.1","1.5","3821","-.002","2.2","65","-.036","-.002","-.009","26","0.000"
"103405","2019-09-29","Danny Jansen","24","TOR","AL","13.4","11.9","6353",".011",".002","10.9","2.0","4538","-.002","2.1","51","-.013",".001","0.000","63","0.000"
"71213","2019-09-29","Jacob Stallings","29","PIT","NL","13.0","13.6","3058",".019",".004","8.7","1.9","2209","-.006","3.6","16","-.029","-.003","-.006","34",".467"
"52532","2019-09-29","Tyler Flowers","33","ATL","NL","10.7","10.3","5024",".020",".003","15.3","2.5","3661",".004","-3.8","38",".023",".002","0.000","714","-.293"
"99903","2019-09-29","Mike Zunino","28","TBA","AL","9.8","8.3","4563",".010",".002","7.0","1.5","3111","-.002","1.7","35","-.047","-.004","-.014","116","-.065"
"69513","2019-09-29","Austin Barnes","29","LAN","NL","8.8","8.5","3242",".017",".002","8.5","1.2","2131","-.001",".7","21",".017","0.000","-.001","108","-.076"
"100316","2019-09-29","Kevin Plawecki","28","CLE","AL","8.4","7.8","2801",".015",".003","6.6","1.2","1846","-.004","2.2","27",".015",".003","0.000","142","-.065"
"48685","2019-09-29","Manny Pina","32","MIL","NL","8.3","8.3","2586",".016",".003","6.4","1.1","1839","-.004","2.0","26",".007","-.001","-.001","49","-.022"
"58767","2019-09-29","Christian Vazquez","28","BOS","AL","7.7","7.8","7141",".011",".002","12.3","2.2","5165",".004","-5.3","51","-.025",".003","0.000","140","-.078"
"59431","2019-09-29","Max Stassi","28","HOU","AL","6.3","6.1","1596",".027",".003","6.6",".6","1056",".001","-.2","14",".015","0.000",".002","0","0.000"
"100036","2019-09-29","Luke Maile","28","TOR","AL","6.3","7.2","2570",".013",".004","5.2","1.5","1902","-.002",".8","27","-.018",".001","0.000","67","-.037"
"70378","2019-09-29","Curt Casali","30","CIN","NL","6.0","6.0","3514",".008",".003","4.5","1.5","2396","-.003","1.8","37",".011",".002","0.000","68","-.026"
"101630","2019-09-29","Reese McGuire","24","TOR","AL","5.7","5.0","1674",".020",".003","5.0",".9","1312","-.001",".4","17","-.002",".003","0.000","0",".287"
"100653","2019-09-29","Tomas Nido","25","NYN","NL","5.1","5.1","2236",".015",".003","5.3","1.0","1560","-.001",".4","28",".031",".001","0.000","24","-.010"
"70673","2019-09-29","Tom Murphy","28","SEA","AL","4.7","4.7","4180",".005",".002","3.5","1.5","2729","-.001",".8","30","-.032","-.002","-.007","591","-.282"
"102064","2019-09-29","Victor Caratini","25","CHN","NL","4.6","3.1","2907",".008",".002","3.4",".9","1934","-.002",".9","29",".007","0.000","0.000","187",".410"
"45447","2019-09-29","Russell Martin","36","LAN","NL","4.4","6.2","3261",".011",".004","5.5","1.8","2101",".002","-1.0","21",".010","-.001","-.002","0","0.000"
"70394","2019-09-29","Cam Gallagher","26","KCA","AL","4.3","3.8","2373",".010",".003","3.7","1.2","1752","-.002",".9","21",".021","-.003","-.005","0","0.000"
"108612","2019-09-29","Will Smith","24","LAN","NL","4.1","4.5","2726",".005",".003","2.1","1.1","1891","-.002","1.2","23",".007",".001","0.000","23",".957"
"58831","2019-09-29","Jason Castro","32","MIN","AL","3.8","3.5","4517",".009",".002","6.1","1.4","3269",".002","-1.9","33",".014",".001","0.000","97","-.037"
"55951","2019-09-29","Sandy Leon","30","BOS","AL","3.5","2.9","3530",".009",".003","4.8","1.5","2458",".002","-1.0","27",".009","-.001","-.001","106","-.049"
"45449","2019-09-29","Brian McCann","35","ATL","NL","3.4","5.0","4675",".007",".003","5.3","2.5","3216",".001","-.9","39",".025",".002","0.000","646","-.300"
"102593","2019-09-29","Mitch Garver","28","MIN","AL","3.3","4.7","4503",".006",".003","4.2","2.2","3270","0.000","-.3","28",".022","-.002","-.005","406","-.131"
"59431","2019-09-29","Max Stassi","28","ANA","AL","3.3","3.4","994",".026",".002","3.9",".3","693",".003","-.5","9",".013",".001","-.002","0","0.000"
"58899","2019-09-29","Alex Avila","32","ARI","NL","2.8","2.1","2976","0.000",".003","-.1","1.2","1996","-.004","2.3","19","-.056","-.001","-.001","236","-.094"
"49220","2019-09-29","Bobby Wilson","36","DET","AL","2.4","1.9","981",".005",".004",".8",".6","654","-.007","1.2","9",".019","-.003","-.002","25",".474"
"48082","2019-09-29","Martin Maldonado","32","KCA","AL","2.1","1.8","4535","-.002",".001","-1.4","1.0","3280","-.004","3.3","26","-.014","-.003",".048","81","0.000"
"47260","2019-09-29","Wilkin Castillo","35","MIA","NL","2.1",".2","121",".006",".003",".1","0.0","65","-.005",".1","0","0.000","0.000","0.000","11","1.927"
"100659","2019-09-29","Anthony Bemboom","29","ANA","AL","2.0","1.9","1030",".013",".005","2.1",".7","738","0.000","-.1","0","0.000",".002","0.000","0","0.000"
"70619","2019-09-29","Carson Kelly","24","ARI","NL","1.9","-.2","5466","-.001",".003","-.9","2.3","3891","-.002","2.6","35","-.014","-.003","-.013","265","-.100"
"33829","2019-09-29","Robinson Chirinos","35","HOU","AL","1.9","3.0","6599","-.003",".003","-3.5","2.9","4403","-.005","5.8","47",".014","-.004","-.015","26","0.000"
"57969","2019-09-29","Kyle Higashioka","29","NYA","AL","1.7","2.1","972",".013",".004","1.9",".5","683","-.001",".1","12",".007",".002","0.000","51","-.215"
"60633","2019-09-29","John Ryan Murphy","28","ARI","NL","1.7","1.4","1062","0.000",".005","0.0",".9","653","-.007","1.3","4","-.006","0.000","0.000","161",".409"
"31391","2019-09-29","Yadier Molina","36","SLN","NL","1.5",".7","6599","0.000",".001",".3","1.5","4245","-.001","1.5","23",".003","-.004","-.017","158","-.341"
"107452","2019-09-29","Tres Barrera","24","WAS","NL","1.4","0.0","12","-.003",".001","0.0","0.0","2","-.002","0.0","0","0.000","0.000","0.000","1","1.449"
"101250","2019-09-29","Tyler Heineman","28","MIA","NL","1.4","-.1","138","-.006",".005","-.1",".1","117","0.000","0.0","2","-.023","0.000","0.000","14","1.444"
"101631","2019-09-29","Dom Nunez","24","COL","NL","1.2",".9","671",".003",".005",".3",".5","502","-.004",".6","6",".008","0.000","0.000","14",".282"
"102110","2019-09-29","Luis Torrens","23","SDN","NL","1.0",".4","199","-.003",".004","-.1",".1","167","-.009",".4","0","0.000","-.001","0.000","0",".665"
"59593","2019-09-29","Steven Baron","28","PIT","NL","1.0",".2","125",".001",".006","0.0",".1","87","-.008",".2","2",".002","0.000","0.000","0",".770"
"38161","2019-09-29","Erik Kratz","39","SFN","NL",".8","1.2","679",".008",".006",".8",".6","444","0.000","0.0","8","-.001","0.000","0.000","56","-.027"
"70477","2019-09-29","Michael Perez","26","TBA","AL",".7",".9","887","0.000",".005",".1",".7","628","-.005",".9","15",".020",".002","0.000","138","-.058"
"101621","2019-09-29","Jose Trevino","26","TEX","AL",".6",".5","2301",".002",".004",".8","1.4","1615","0.000","0.0","13","-.005","-.001","-.002","22","-.205"
"48082","2019-09-29","Martin Maldonado","32","HOU","AL",".6","0.0","1515","-.002",".001","-.5",".3","1000","0.000",".9","10",".040","0.000","-.080","14",".477"
"58842","2019-09-29","Caleb Joseph","33","ARI","NL",".5",".5","764",".006",".004",".7",".5","526",".002","-.2","5","-.025","0.000","0.000","17","-.007"
"70926","2019-09-29","Aramis Garcia","26","SFN","NL",".5","1.3","642",".015",".004","1.5",".4","516",".007","-1.0","3",".002","0.000","0.000","28","-.010"
"60633","2019-09-29","John Ryan Murphy","28","ATL","NL",".5","0.0","13","0.000",".005","0.0","0.0","9","0.000","0.0","0",".033","0.000","0.000","8",".480"
"58217","2019-09-29","Tim Federowicz","31","TEX","AL",".4","-.6","1671","-.004",".003","-1.1",".7","1163","-.003",".9","11","-.014","-.002","-.002","13",".478"
"60238","2019-09-29","Dustin Garneau","31","ANA","AL",".4","0.0","1462",".002",".003",".4",".6","1054","0.000","0.0","15","-.004","0.000","0.000","7","-.002"
