Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rctch,Rdrs,Rdrs/yr,RszC,RsbC,RerC,RF/9,RF/G,PB,WP,SB,CS,CS%
1,Jorge Alfaro\alfarjo01,26,MIA,NL,118,112,106,973,996,930,55,11,8,0.989,-2,-3,-2,-4,-5,2,2,-6,9.11,8.35,11,45,33,16,33%
2,Austin Allen\allenau01,25,SDP,NL,19,14,13,128,137,126,10,1,0,0.993,-1,-10,-1,0,0,0,0,0,9.56,7.16,3,4,8,1,11%
3,Willians Astudillo\astudwi01,27,MIN,AL,21,17,17,158.1,169,159,10,0,2,1,-1,-4,-1,-2,-16,-1,0,0,9.61,8.05,0,7,11,3,21%
4,Alex Avila\avilaal01,32,ARI,NL,54,49,37,431,415,384,29,2,2,0.995,7,20,7,7,19,0,4,0,8.62,7.65,2,11,10,11,52%
5,Austin Barnes\barneau01,29,LAD,NL,64,61,54,524.2,572,554,12,6,1,0.99,1,1,1,6,13,5,0,0,9.71,8.84,2,15,18,5,22%
6,Tucker Barnhart\barnhtu01,28,CIN,NL,102,87,78,773,860,812,46,2,2,0.998,2,3,2,4,6,2,-2,0,9.99,8.41,5,19,41,12,23%
7,Steven Baron\baronst01,28,PIT,NL,5,2,1,17.2,14,12,0,2,0,0.857,-1,-48,-1,0,0,0,0,0,6.11,2.4,0,0,2,0,0%
8,Tres Barrera\barretr01,24,WSN,NL,1,0,0,2,0,0,0,0,0,,0,18,0,0,0,0,0,0,0,0,0,0,0,0,
9,Anthony Bemboom\bemboan01,29,TOT,MLB,25,17,10,154.1,169,162,7,0,0,1,2,12,2,1,7,1,1,0,9.86,6.76,4,9,7,6,46%
10,Anthony Bemboom\bemboan01,29,TBR,AL,3,2,0,16,26,26,0,0,0,1,-1,-86,-1,-1,-83,0,0,0,14.63,8.67,2,3,0,0,
11,Anthony Bemboom\bemboan01,29,LAA,AL,22,15,10,138.1,143,136,7,0,0,1,3,23,3,2,16,1,1,0,9.3,6.5,2,6,7,6,46%
12,Drew Butera\buterdr01,35,COL,NL,14,13,9,109.2,105,99,6,0,0,1,1,11,1,0,0,-1,0,0,8.62,7.5,0,4,4,2,33%
13,Victor Caratini\caratvi01,25,CHC,NL,59,48,38,426,484,460,22,2,1,0.996,1,3,1,0,0,2,0,-2,10.18,8.17,3,14,29,6,17%
14,Curt Casali\casalcu01,30,CIN,NL,67,57,41,504.1,606,572,31,3,4,0.995,1,3,1,7,16,2,0,2,10.76,9,3,14,34,11,24%
15,Welington Castillo\castiwe01,32,CHW,AL,48,46,43,395,377,354,19,4,4,0.989,-6,-19,-6,-10,-31,-7,-1,-1,8.5,7.77,9,23,30,7,19%
16,Wilkin Castillo\castiwi01,35,MIA,NL,2,2,2,18,20,20,0,0,0,1,0,-2,0,-1,-73,0,0,0,10,10,0,1,0,0,
17,Jason Castro\castrja01,32,MIN,AL,78,72,61,631.1,667,637,29,1,2,0.999,-3,-5,-3,-7,-13,1,-2,-4,9.49,8.54,7,34,29,7,19%
18,Juan Centeno\centeju01,29,BOS,AL,5,3,3,34,30,25,5,0,1,1,-1,-34,-1,-1,-39,-1,0,0,7.94,6,2,2,4,1,20%
19,Francisco Cervelli\cervefr01,33,TOT,MLB,41,38,29,308,336,315,18,3,4,0.991,0,1,0,2,7,0,1,1,9.73,8.12,6,12,17,8,32%
20,Francisco Cervelli\cervefr01,33,PIT,NL,32,32,25,252.1,278,259,17,2,3,0.993,0,2,0,2,9,0,1,1,9.84,8.63,5,9,15,6,29%
21,Francisco Cervelli\cervefr01,33,ATL,NL,9,6,4,55.2,58,56,1,1,1,0.983,0,-2,0,0,0,0,0,0,9.22,6.33,1,3,2,2,50%
22,Robinson Chirinos\chiriro01,35,HOU,AL,112,106,103,966,1135,1078,51,6,5,0.995,6,7,6,3,4,-6,0,-1,10.52,10.08,4,19,45,12,21%
23,Nick Ciuffo\ciuffni01,24,TBR,AL,3,1,1,16,23,21,2,0,0,1,0,-5,0,0,0,0,0,0,12.94,7.67,2,0,1,1,50%
24,Zack Collins\colliza01,24,CHW,AL,10,10,10,89.1,76,75,1,0,0,1,-2,-30,-2,-4,-55,-2,-1,0,7.66,7.6,1,8,8,1,11%
25,Willson Contreras\contrwi01,27,CHC,NL,99,92,81,811.2,833,770,51,12,3,0.986,-1,-1,-1,-1,-2,-4,1,4,9.1,8.29,6,33,39,16,29%
26,Travis d'Arnaud\darnatr01,30,TOT,MLB,85,67,56,626.2,731,702,26,3,4,0.996,0,-1,0,-3,-5,1,0,-3,10.46,8.56,7,32,35,14,29%
27,Travis d'Arnaud\darnatr01,30,NYM,NL,9,5,4,48,47,43,3,1,0,0.979,-1,-28,-1,0,0,0,1,0,8.63,5.11,1,5,4,2,33%
